0	0.076	34	3.51	9.4	5
0	0.098	67	3.2	9.8	5
0.04	0.092	54	3.26	9.8	5
0.56	0.075	60	3.16	9.8	6
0	0.076	34	3.51	9.4	5
0	0.075	40	3.51	9.4	5
0.06	0.069	59	3.3	9.4	5
0	0.065	21	3.39	10	7
0.02	0.073	18	3.36	9.5	7
0.36	0.071	102	3.35	10.5	5
0.08	0.097	65	3.28	9.2	5
0.36	0.071	102	3.35	10.5	5
0	0.089	59	3.58	9.9	5
0.29	0.114	29	3.26	9.1	5
0.18	0.176	145	3.16	9.2	5
0.19	0.17	148	3.17	9.2	5
0.56	0.092	103	3.3	10.5	7
0.28	0.368	56	3.11	9.3	5
0.08	0.086	29	3.38	9	4
0.51	0.341	56	3.04	9.2	6
0.48	0.077	60	3.39	9.4	6
0.31	0.082	71	3.52	9.7	5
0.21	0.106	37	3.17	9.5	5
0.11	0.084	67	3.17	9.4	5
0.14	0.085	40	3.43	9.7	6
0.16	0.08	23	3.34	9.3	5
0.24	0.08	11	3.28	9.5	5
0.22	0.106	37	3.17	9.5	5
0	0.08	35	3.47	9.4	5
0	0.082	16	3.38	9.8	6
0.07	0.089	82	3.35	10.1	5
0	0.105	37	3.46	10.6	6
0.12	0.083	113	3.17	9.8	5
0.12	0.073	83	3.45	9.4	6
0.25	0.103	50	3.38	9.2	5
0	0.086	18	3.4	9.6	6
0.14	0.086	15	3.42	10.8	6
0.28	0.066	30	3.23	9.7	7
0.09	0.172	19	3.5	9.8	4
0.36	0.074	87	3.33	10.5	5
0.36	0.074	87	3.33	10.5	5
0.3	0.088	46	3.26	9.3	4
0.2	0.332	14	3.21	10.5	6
0.22	0.069	23	3.3	10.3	5
0.02	0.05	11	3.48	9.5	5
0.15	0.054	65	3.9	13.1	4
0.43	0.114	114	3.25	9.2	5
0.52	0.113	37	3.25	9.5	5
0.23	0.066	12	3.34	9.2	5
0.37	0.074	96	3.32	9.2	5
0.26	0.074	23	3.15	9.2	5
0.04	0.069	15	3.4	9.4	6
0.04	0.068	14	3.39	9.4	6
0.36	0.081	119	3.2	9.4	5
0.15	0.11	73	3.17	10.2	6
0.04	0.084	45	3.34	9.5	5
0.57	0.07	10	3.04	9.6	5
0.12	0.111	110	3.26	9.4	5
0.18	0.076	54	3.43	10	5
0.31	0.074	46	3.41	9.4	6
0.4	0.079	52	3.44	9.2	5
0.49	0.115	112	3.21	9.3	5
0.16	0.085	35	3.38	9.5	7
0.05	0.081	54	3.39	9.8	5
0.05	0.086	11	3.41	10.9	5
0.05	0.086	11	3.41	10.9	5
0.11	0.079	39	3.42	9.6	5
0.07	0.076	15	3.44	10.7	5
0.57	0.074	65	3.28	10.7	5
0.05	0.074	19	3.34	10.5	6
0.08	0.076	27	3.32	9.5	6
0.23	0.088	96	3.32	9.5	5
0.22	0.084	94	3.31	9.5	5
0.26	0.084	43	3.31	9.2	4
0.54	0.094	83	3.28	9.6	5
0.64	0.093	42	3.54	10.5	5
0.64	0.093	42	3.54	10.5	5
0	0.104	30	3.52	10.7	6
0.12	0.086	80	3.38	10.1	5
0.2	0.08	119	3.16	9.1	4
0.2	0.069	15	3.41	9.2	5
0.7	0.464	67	3.13	9.4	5
0.47	0.086	73	3.36	9.1	5
0.26	0.401	51	3.16	9.4	5
0.48	0.069	61	3.44	10.3	6
0.15	0.076	40	3.41	10.1	5
0.28	0.11	136	2.93	9.9	6
0.26	0.062	31	3.39	9.6	5
0.44	0.107	125	3.14	9.5	5
0.08	0.076	24	3.48	9	5
0.26	0.079	140	3.23	9.5	5
0.28	0.11	136	2.93	9.9	6
0.29	0.11	133	2.93	9.8	5
0.26	0.062	31	3.39	9.6	5
0.04	0.045	85	3.75	10.5	4
0.17	0.058	106	3.85	12.9	6
0	0.102	23	3.45	10.7	5
0.25	0.07	22	3.25	9.2	5
0.06	0.079	10	3.39	9.8	5
0.18	0.08	35	3.3	9	6
0.3	0.084	50	3.4	10.2	6
0.3	0.075	22	3.31	10.4	6
0.18	0.08	35	3.3	9	6
0.22	0.077	65	3.29	9.2	5
0.24	0.07	36	3.33	9.4	5
0.22	0.077	65	3.29	9.2	5
0.68	0.467	69	3.08	9.3	5
0.31	0.088	64	3.46	9.3	5
0.53	0.091	80	3.37	9.6	6
0.52	0.122	153	3.21	9.3	5
0.19	0.104	47	3.19	9.5	5
0.09	0.084	108	3.15	9.8	5
0.1	0.085	111	3.15	9.8	5
0.44	0.08	46	3.32	9.7	6
0.19	0.104	47	3.19	9.5	5
0.31	0.09	62	3.07	10.5	6
0.28	0.077	40	3.39	10	6
0.12	0.082	28	3.37	9.4	6
0.04	0.119	56	3.21	10.9	6
0.08	0.097	89	3.34	9.2	6
0.09	0.178	89	3.3	9	5
0.04	0.119	56	3.21	10.9	6
0	0.075	13	3.49	9.2	5
0	0.08	34	3.44	9.5	5
0.17	0.082	102	3.39	9.5	5
0.04	0.146	90	3.16	9.4	5
0	0.081	12	3.53	10.9	5
0	0.082	12	3.54	10.9	5
0.16	0.065	16	3.42	10.5	7
0.15	0.072	19	3.42	9.4	5
0.56	0.118	134	3.24	9.4	5
0.09	0.049	99	3.63	13	5
0.09	0.049	99	3.63	13	5
0.01	0.06	26	3.4	9.8	6
0.05	0.084	29	3.22	9.9	6
0.11	0.09	63	3.19	9.6	5
0.15	0.089	52	3.23	9.5	5
0.36	0.081	45	3.48	9.2	5
0.19	0.081	105	3.33	9.5	5
0.19	0.081	108	3.32	9.5	5
0.12	0.09	63	3.19	9.6	5
0.15	0.089	52	3.23	9.5	5
0	0.05	63	3.68	14	6
0.08	0.066	20	3.34	9.4	5
0	0.05	63	3.68	14	6
0.55	0.117	141	3.17	9.4	5
0.02	0.087	94	3.54	10	5
0.26	0.236	88	3.11	9.3	5
0.1	0.074	30	3.42	10.2	6
0.44	0.089	43	3.53	10.5	6
0.47	0.077	11	3.33	10.3	6
1	0.61	69	2.74	9.4	4
0.03	0.095	99	3.35	10.1	5
0.03	0.095	99	3.35	10.1	5
0.42	0.07	129	3.42	10.5	5
0.42	0.071	128	3.42	10.5	5
0.42	0.07	129	3.42	10.5	5
0.42	0.071	128	3.42	10.5	5
0	0.073	22	3.48	9.3	5
0.18	0.079	86	3.59	9.3	6
0.03	0.09	20	3.2	9.6	5
0.02	0.072	20	3.17	9.2	4
0.04	0.076	31	3.33	10	6
0.26	0.07	121	3.37	9.4	5
0.26	0.07	121	3.37	9.4	5
0.48	0.1	96	3.19	9.5	5
0.1	0.085	101	3.34	10.2	5
0.03	0.072	42	3.37	9	4
0.07	0.089	44	3.47	10.4	6
0.24	0.36	63	3	9.5	5
0.03	0.058	8	3.36	9.1	4
0.17	0.073	18	3.29	9.2	6
0.17	0.073	18	3.29	9.2	6
0.05	0.068	42	3.42	11.5	6
0.21	0.08	35	3.33	9.5	5
0.04	0.085	49	3.35	9.5	5
0.21	0.08	35	3.33	9.5	5
0.42	0.087	38	3.58	10.5	6
0	0.068	20	3.48	9.6	5
0.14	0.067	42	3.19	9.5	5
0.14	0.067	42	3.19	9.5	5
0.49	0.27	110	3.12	9.3	5
0.02	0.076	42	3.44	9.3	5
0.2	0.077	65	3.54	9.3	5
0.21	0.079	62	3.52	9.3	6
0.57	0.111	85	3.26	9.7	5
0.48	0.082	67	3.34	9.2	5
0.1	0.084	26	3.39	9.7	5
0.33	0.084	143	3.2	9.5	5
0.32	0.082	144	3.2	9.5	5
0.35	0.077	127	3.23	9.4	5
0.25	0.074	49	3.57	9.8	6
0.12	0.099	126	3.28	9.5	5
0.21	0.071	28	3.28	9.7	5
0.21	0.071	28	3.28	9.7	5
0.33	0.074	120	3.25	9.4	5
0.3	0.074	55	3.46	10.2	5
0.6	0.067	27	3.11	10.1	6
0.08	0.046	93	3.57	13	7
0.06	0.061	31	3.51	11.4	4
0.47	0.056	24	3.22	10.3	7
0.48	0.097	145	3.04	9.3	5
0.11	0.075	49	3.36	9.5	5
0.35	0.088	39	3.34	9.2	5
0.36	0.089	37	3.34	9.2	6
0.74	0.095	28	3.2	10.8	7
0.74	0.095	28	3.2	10.8	7
0.31	0.069	120	3.29	9.3	5
0.28	0.1	95	3.22	9.4	5
0.58	0.054	19	3.31	10.5	7
0.6	0.039	19	3.3	12.4	6
0.24	0.083	62	3.35	10	6
0.64	0.059	15	3.21	10.2	6
0.26	0.06	65	3.3	10.1	5
0.08	0.092	41	3.24	9.8	6
0.49	0.06	121	3.34	10.5	5
0.16	0.101	49	3.14	11	5
0.22	0.072	41	3.36	9.1	5
0.19	0.076	44	3.39	9.7	5
0.33	0.08	144	3.3	9.5	5
0.37	0.082	58	3.34	9.4	6
0.26	0.101	72	3.15	9.4	5
0.04	0.057	10	3.42	9.5	5
0.25	0.083	28	3.28	10	6
0.36	0.089	55	3.31	10.4	4
0.25	0.073	63	3.37	10.5	6
0.5	0.337	81	3.04	9.5	6
0.14	0.089	23	3.39	9.8	5
0.25	0.073	63	3.37	10.5	6
0.25	0.081	37	3.46	11	5
0.04	0.054	106	3.54	12.2	7
0.06	0.078	49	3.37	9.9	6
0.2	0.09	58	3.34	9.6	6
0.25	0.081	37	3.46	11	5
0.09	0.065	37	3.32	9	6
0	0.097	38	3.37	9	6
0	0.097	38	3.37	9	6
0	0.097	39	3.37	9.2	6
0	0.097	38	3.37	9	6
0.09	0.065	37	3.32	9	6
0.37	0.263	62	3	9.3	5
0.56	0.093	24	3.14	10.9	6
0.1	0.102	109	3.08	9.8	6
0.44	0.075	24	3.07	9.2	7
0.44	0.075	24	3.07	9.2	7
0	0.084	23	3.61	9.9	6
0.07	0.075	51	3.38	9.5	5
0.17	0.072	73	3.2	9.3	5
0.06	0.074	39	3.35	9.8	6
0	0.084	23	3.61	9.9	6
0.44	0.063	37	3.22	10	6
0	0.074	34	3.47	9.9	6
0.48	0.09	21	3.17	10.5	5
0.42	0.092	86	3.23	9.5	5
0	0.074	34	3.47	9.9	6
0.23	0.073	119	3.26	9.3	5
0.37	0.075	13	3.22	9.2	5
0	0.075	56	3.49	9.2	5
0.76	0.611	45	3.06	9.4	5
0.47	0.085	33	3.36	10.5	7
0.23	0.077	45	3.29	9.3	5
0.04	0.087	67	3.35	9.4	4
0.03	0.07	35	3.34	10	5
0.23	0.077	49	3.28	9.3	5
0.49	0.064	27	3.08	10.9	5
0.52	0.071	10	3.2	10.2	7
0	0.096	61	3.6	9.8	4
0.46	0.078	37	3.35	12.8	8
0.04	0.077	27	3.69	9.4	6
0.51	0.104	23	3.28	10.1	6
0.06	0.087	61	3.36	10.7	6
0.51	0.104	23	3.28	10.1	6
0.58	0.071	65	3.22	10.1	5
0.2	0.076	38	3.31	9.4	5
0.18	0.088	94	3.38	9.4	5
0.06	0.087	61	3.36	10.7	6
0.04	0.077	27	3.69	9.4	6
0.51	0.104	23	3.28	10.1	6
0.45	0.073	13	3.23	12.6	8
0.32	0.087	47	3.38	10.5	7
0.44	0.071	19	3.12	9.3	6
0.68	0.358	10	3.25	9.9	7
0.12	0.067	53	3.36	9.1	5
0.32	0.087	47	3.38	10.5	7
0.07	0.102	71	3.31	9.8	5
0.07	0.102	71	3.31	9.8	5
0.55	0.073	49	3.1	10.3	6
0.12	0.092	53	3.37	10.3	6
0.09	0.091	49	3.34	10.6	7
0.53	0.105	98	3.2	9.2	5
0.09	0.091	49	3.34	10.6	7
0.48	0.343	18	3.3	10.5	5
0.23	0.091	48	3.22	10.3	6
0.25	0.098	16	3.41	10.1	6
0.52	0.094	53	3.05	9.5	6
0.46	0.073	27	3.05	9.5	5
0.37	0.086	70	3.16	9.9	5
0.06	0.083	29	3.67	9.6	5
