Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
TN de Grooth ,Netherlands,2008,2013,15,13,5,163,49,FALSE,20.375,155,105.1612903,0,0,0,16,1
SM Davies ,England,2009,2011,5,5,0,102,33,FALSE,20.4,82,124.3902439,0,0,0,12,0
V Sibanda ,Zimbabwe,2007,2016,26,26,1,511,59,FALSE,20.44,503,101.5904573,0,1,3,52,11
FA Cossa ,Moz,2019,2019,6,6,2,82,19,TRUE,20.5,90,91.11111111,0,0,0,6,4
Shaikh Ashraf ,Peru,2019,2019,4,4,0,82,38,FALSE,20.5,67,122.3880597,0,0,0,8,3
Abdullah Shafique ,Pakistan,2020,2020,3,3,1,41,41,TRUE,20.5,37,110.8108108,0,0,2,4,1
Ali Mohammadipour ,Iran,2020,2020,3,3,1,41,19,FALSE,20.5,44,93.18181818,0,0,0,6,0
KA Jamieson ,New Zealand,2020,2021,8,4,2,41,30,FALSE,20.5,27,151.8518519,0,0,0,7,0
K Joshi ,Aut,2019,2019,5,3,1,41,32,TRUE,20.5,41,100,0,0,0,4,2
GF Linde ,South Africa,2020,2020,3,2,0,41,29,FALSE,20.5,26,157.6923077,0,0,0,3,2
RR Pant ,India,2017,2021,29,26,5,431,65,TRUE,20.52380952,360,119.7222222,0,2,3,30,19
JDP Oram ,New Zealand,2005,2012,36,30,7,474,66,TRUE,20.60869565,339,139.8230088,0,2,3,38,22
DS Airee ,Nepal,2018,2020,21,18,2,330,47,TRUE,20.625,308,107.1428571,0,0,0,23,6
Abdul Razzaq ,Pakistan,2006,2013,32,29,10,393,46,TRUE,20.68421053,337,116.6172107,0,0,2,21,21
Khawar Ali ,Oman,2015,2020,32,31,2,601,72,TRUE,20.72413793,603,99.66832504,0,2,2,66,14
DT Johnston ,Ireland,2008,2013,30,19,7,249,62,FALSE,20.75,184,135.326087,0,1,1,13,11
GP Swann ,England,2008,2012,39,16,11,104,34,FALSE,20.8,89,116.8539326,0,0,2,9,1
AM Rahane ,India,2011,2016,20,20,2,375,61,FALSE,20.83333333,331,113.2930514,0,1,2,32,6
MD Gunathilaka ,Sri Lanka,2016,2021,27,26,0,542,57,FALSE,20.84615385,445,121.7977528,0,3,0,57,14
Aarif Sheikh ,Nepal,2018,2020,14,12,2,209,39,TRUE,20.9,197,106.0913706,0,0,0,20,4
Kamran Akmal ,Pakistan,2006,2017,58,53,6,987,73,FALSE,21,825,119.6363636,0,5,7,100,31
KMA Paul ,West Indies,2018,2020,20,14,6,168,29,FALSE,21,143,117.4825175,0,0,1,8,11
AJ Redmond ,New Zealand,2009,2010,7,6,0,126,63,FALSE,21,84,150,0,1,0,19,2
Haroon Mughal ,MLT,2019,2020,7,5,0,105,33,FALSE,21,78,134.6153846,0,0,0,6,5
JR Hopes ,Australia,2005,2010,12,7,2,105,30,FALSE,21,98,107.1428571,0,0,0,7,1
M Mosehle ,South Africa,2017,2017,7,6,1,105,36,FALSE,21,65,161.5384615,0,0,0,6,9
JR Philippe ,Australia,2021,2021,5,5,0,105,45,FALSE,21,87,120.6896552,0,0,0,6,4
N Khosla ,MLT,2019,2019,4,4,0,84,27,FALSE,21,95,88.42105263,0,0,0,3,2
NG Jones ,Ireland,2010,2012,5,4,2,42,14,TRUE,21,38,110.5263158,0,0,1,1,2
C Mahoney ,Peru,2019,2019,3,1,0,21,21,FALSE,21,27,77.77777778,0,0,0,1,0
Mohammad Sami ,Pakistan,2010,2016,13,4,3,21,8,FALSE,21,30,70,0,0,0,2,0
Rony Talukdar ,Bangladesh,2015,2015,1,1,0,21,21,FALSE,21,22,95.45454545,0,0,0,0,1
GC Wilson ,Ireland,2008,2020,81,68,8,1268,65,TRUE,21.13333333,1212,104.620462,0,3,4,108,20
Asghar Afghan ,Afghanistan,2010,2020,69,63,4,1248,62,FALSE,21.15254237,1160,107.5862069,0,3,5,75,62
KJ O'Brien ,Ireland,2008,2020,96,89,10,1672,124,FALSE,21.16455696,1230,135.9349593,1,3,10,137,76
MJ Prior ,England,2007,2010,10,8,2,127,32,FALSE,21.16666667,100,127,0,0,1,11,5
ES Szwarczynski ,Netherlands,2008,2013,14,12,1,233,45,FALSE,21.18181818,243,95.88477366,0,0,0,22,2
JA Morkel ,South Africa,2005,2015,50,38,11,572,43,FALSE,21.18518519,402,142.2885572,0,0,1,29,39
MJ Clarke ,Australia,2005,2010,34,28,5,488,67,FALSE,21.2173913,473,103.1712474,0,1,2,29,10
MJ Lumb ,England,2010,2014,27,27,1,552,63,FALSE,21.23076923,413,133.6561743,0,3,1,64,21
N Pathan ,THAI,2019,2020,8,8,1,149,54,TRUE,21.28571429,128,116.40625,0,1,1,10,7
A Natubhai Ahir ,PNM,2019,2019,3,3,0,64,30,FALSE,21.33333333,59,108.4745763,0,0,0,10,1
Usman Waheed ,KUW,2019,2019,6,4,1,64,28,TRUE,21.33333333,61,104.9180328,0,0,1,6,1
Nasir Jamshed ,Pakistan,2012,2013,18,18,1,363,56,FALSE,21.35294118,320,113.4375,0,2,1,34,12
SB Styris ,New Zealand,2005,2010,31,29,2,578,66,FALSE,21.40740741,483,119.6687371,0,1,0,40,25
RE Levi ,South Africa,2012,2012,13,13,2,236,117,TRUE,21.45454545,167,141.3173653,1,1,3,20,15
Najeeb Tarakai ,Afghanistan,2014,2019,12,12,0,258,90,FALSE,21.5,210,122.8571429,0,1,1,21,13
SS McKechnie ,Hong Kong,2019,2020,19,17,7,215,44,FALSE,21.5,223,96.41255605,0,0,2,14,2
HAM Shah ,DEN,2019,2019,9,8,0,172,40,FALSE,21.5,168,102.3809524,0,0,0,18,2
M Sohel Patel ,PNM,2019,2019,2,2,0,43,40,FALSE,21.5,39,110.2564103,0,0,0,2,3
Khalid Latif ,Pakistan,2008,2016,13,13,2,237,59,TRUE,21.54545455,229,103.4934498,0,1,1,25,6
HD Rutherford ,New Zealand,2013,2019,8,7,0,151,62,FALSE,21.57142857,105,143.8095238,0,1,1,12,9
JDS Neesham ,New Zealand,2012,2021,29,22,7,324,48,TRUE,21.6,206,157.2815534,0,0,2,28,19
B Zuiderent ,Netherlands,2009,2010,6,6,1,108,43,TRUE,21.6,124,87.09677419,0,0,0,8,1
SD Hope ,West Indies,2017,2019,13,11,0,238,55,FALSE,21.63636364,175,136,0,2,1,24,10
J Mubarak ,Sri Lanka,2007,2009,16,15,4,238,46,TRUE,21.63636364,188,126.5957447,0,0,2,21,8
ADS Fletcher ,West Indies,2008,2020,45,43,5,823,84,TRUE,21.65789474,738,111.5176152,0,6,6,58,42
MR Marsh ,Australia,2011,2021,20,20,5,325,45,FALSE,21.66666667,280,116.0714286,0,0,1,17,15
Khushdil Shah ,Pakistan,2019,2021,9,9,3,130,36,TRUE,21.66666667,119,109.2436975,0,0,0,13,4
Imran Nazir ,Pakistan,2007,2012,25,24,1,500,72,FALSE,21.73913043,370,135.1351351,0,3,2,59,22
CR Ervine ,Zimbabwe,2010,2020,25,24,1,502,68,TRUE,21.82608696,502,100,0,3,1,48,13
V Sehwag ,India,2006,2012,19,18,0,394,68,FALSE,21.88888889,271,145.3874539,0,2,1,43,16
C Kieswetter ,England,2010,2012,25,25,1,526,63,FALSE,21.91666667,470,111.9148936,0,3,2,47,23
MS Wade ,Australia,2011,2021,38,29,5,526,80,FALSE,21.91666667,415,126.746988,0,3,0,39,19
J Charles ,West Indies,2011,2016,34,33,0,724,84,FALSE,21.93939394,595,121.6806723,0,4,4,84,26
Faisal Javed ,QAT,2019,2019,15,15,0,330,61,FALSE,22,212,155.6603774,0,2,1,45,11
IA Karim ,Kenya,2013,2019,16,16,3,286,71,TRUE,22,299,95.65217391,0,2,2,30,2
H Patel ,Canada,2010,2013,11,11,1,220,88,TRUE,22,218,100.9174312,0,1,2,19,2
SP Fleming ,New Zealand,2005,2006,5,5,0,110,38,FALSE,22,85,129.4117647,0,0,0,20,0
JN Malan ,South Africa,2019,2021,5,5,0,110,44,FALSE,22,85,129.4117647,0,0,0,15,4
Md Shafiqul Haque ,THAI,2019,2019,4,4,0,88,38,FALSE,22,62,141.9354839,0,0,0,5,6
Zishan Shah ,DEN,2019,2019,6,5,1,88,50,FALSE,22,87,101.1494253,0,1,0,7,1
AA Banner ,Blz,2019,2019,3,2,0,44,28,FALSE,22,29,151.7241379,0,0,0,4,3
Saad Nasim ,Pakistan,2014,2014,3,2,0,44,25,FALSE,22,53,83.01886792,0,0,0,0,1
Aminul Islam ,Bangladesh,2019,2020,7,4,3,22,9,FALSE,22,18,122.2222222,0,0,0,4,0
AB Dinda ,India,2009,2012,9,2,1,22,19,FALSE,22,24,91.66666667,0,0,0,1,0
FL Reifer ,West Indies,2009,2009,1,1,0,22,22,FALSE,22,20,110,0,0,0,2,1
Umair Ali ,United Arab Emirates,2015,2015,3,3,2,22,13,FALSE,22,18,122.2222222,0,0,0,2,1
Samiullah Shinwari ,Afghanistan,2010,2020,64,56,10,1013,61,FALSE,22.02173913,858,118.0652681,0,2,2,76,37
Fakhar Zaman ,Pakistan,2017,2020,40,38,0,838,91,FALSE,22.05263158,625,134.08,0,4,2,94,25
DM de Silva ,Sri Lanka,2015,2020,16,15,0,331,62,FALSE,22.06666667,301,109.9667774,0,2,0,28,5
JJ Atkinson ,Hong Kong,2014,2020,17,16,2,309,53,FALSE,22.07142857,277,111.5523466,0,2,3,31,9
Mohammad Nabi ,Afghanistan,2010,2020,78,72,11,1347,89,FALSE,22.08196721,927,145.3074434,0,4,4,85,79
Younis Khan ,Pakistan,2006,2010,25,23,3,442,51,FALSE,22.1,364,121.4285714,0,2,2,31,12
S Adedeji ,NGA,2019,2019,6,6,2,89,51,TRUE,22.25,114,78.07017544,0,1,1,5,2
PJ van Biljon ,South Africa,2020,2021,7,6,2,89,42,FALSE,22.25,71,125.3521127,0,0,0,10,2
JP Kotze ,Namibia,2019,2019,12,12,1,245,101,TRUE,22.27272727,193,126.9430052,1,0,1,21,13
N Davin ,Namibia,2019,2019,16,16,1,335,54,FALSE,22.33333333,216,155.0925926,0,1,1,33,15
AJ Michael ,Samoa,2019,2019,4,4,1,67,23,FALSE,22.33333333,69,97.10144928,0,0,0,5,2
Shafiq Sharif ,MAL,2019,2019,10,10,0,225,53,FALSE,22.5,171,131.5789474,0,1,2,32,5
B Ivanov ,BUL,2019,2020,8,4,2,45,21,TRUE,22.5,71,63.38028169,0,0,0,3,1
G Malla ,Nepal,2014,2020,27,25,0,566,107,FALSE,22.64,465,121.7204301,1,1,1,53,23
Aqib Ilyas ,Oman,2015,2019,22,22,4,408,60,FALSE,22.66666667,356,114.6067416,0,2,1,47,7
AC Gilchrist ,Australia,2005,2008,13,13,1,272,48,FALSE,22.66666667,192,141.6666667,0,0,0,27,13
R Escobar ,Arg,2019,2019,5,4,1,68,28,TRUE,22.66666667,76,89.47368421,0,0,0,6,1
CK Kapugedera ,Sri Lanka,2006,2017,43,38,7,703,50,FALSE,22.67741935,591,118.9509306,0,1,0,58,25
Liton Das ,Bangladesh,2015,2020,29,29,1,636,61,FALSE,22.71428571,471,135.0318471,0,4,2,60,25
Junaid Siddique ,Bangladesh,2007,2012,7,7,0,159,71,FALSE,22.71428571,108,147.2222222,0,1,1,16,7
T Banton ,England,2019,2020,9,9,0,205,71,FALSE,22.77777778,143,143.3566434,0,1,0,19,9
Aftab Ahmed ,Bangladesh,2006,2010,11,11,1,228,62,TRUE,22.8,178,128.0898876,0,1,0,26,6
S Kaveri ,Mex,2019,2019,7,6,1,114,43,FALSE,22.8,146,78.08219178,0,0,0,9,1
W Barresi ,Netherlands,2012,2019,42,41,6,799,75,TRUE,22.82857143,695,114.9640288,0,4,3,69,21
AR White ,Ireland,2008,2012,18,12,6,137,29,FALSE,22.83333333,128,107.03125,0,0,0,12,2
JD Ryder ,New Zealand,2008,2014,22,21,1,457,62,FALSE,22.85,358,127.6536313,0,3,2,47,18
DJ Hussey ,Australia,2008,2012,39,36,3,756,88,TRUE,22.90909091,623,121.3483146,0,3,4,41,34
RR Sarwan ,West Indies,2007,2010,18,16,3,298,59,FALSE,22.92307692,286,104.1958042,0,2,1,19,6
N Vanua ,Papau New Guinea,2015,2019,25,22,8,321,54,FALSE,22.92857143,211,152.1327014,0,1,4,12,23
MS Chapman ,Hong Kong/New Zealand,2014,2021,27,26,3,528,63,TRUE,22.95652174,448,117.8571429,0,1,0,43,15
A Vala ,Papau New Guinea,2015,2019,26,24,4,460,68,FALSE,23,427,107.7283372,0,2,0,39,13
IJL Trott ,England,2007,2010,7,7,1,138,51,FALSE,23,144,95.83333333,0,1,0,9,3
SA Ahmad ,DEN,2019,2019,5,3,1,46,25,FALSE,23,54,85.18518519,0,0,0,2,0
C Floyd ,Netherlands,2019,2019,2,2,1,23,21,FALSE,23,23,100,0,0,0,2,1
RK Inampud ,Mex,2019,2019,3,3,2,23,17,TRUE,23,28,82.14285714,0,0,0,0,1
T Panyangara ,Zimbabwe,2013,2016,14,5,4,23,17,TRUE,23,17,135.2941176,0,0,0,1,2
VM Sachdev ,PNM,2019,2019,2,2,1,23,12,TRUE,23,31,74.19354839,0,0,0,2,0
H Klaasen ,South Africa,2018,2021,16,16,3,300,69,FALSE,23.07692308,200,150,0,2,1,20,16
DJ Bravo ,West Indies,2006,2021,74,63,13,1157,66,TRUE,23.14,1010,114.5544554,0,4,5,67,50
NLTC Perera ,ICC/Sri Lanka/World XI,2010,2021,84,74,22,1204,61,FALSE,23.15384615,794,151.6372796,0,3,8,88,64
Mohammad Amin ,KUW,2019,2020,9,7,3,93,32,FALSE,23.25,92,101.0869565,0,0,0,8,2
ST Jayasuriya ,Sri Lanka,2006,2011,31,30,3,629,88,FALSE,23.2962963,487,129.1581109,0,4,4,76,23
NJ Ferraby ,JER,2019,2019,14,14,1,303,81,TRUE,23.30769231,257,117.8988327,0,1,2,38,2
Tarun Sharma ,Mex,2019,2019,8,8,1,164,49,TRUE,23.42857143,160,102.5,0,0,1,12,6
Adnan Ilyas ,Oman,2015,2016,12,11,0,258,54,FALSE,23.45454545,218,118.3486239,0,1,0,16,8
JJ Tucker ,Bermuda,2019,2019,5,5,1,94,50,TRUE,23.5,97,96.90721649,0,1,0,11,1
M Aboagye ,Ghana,2019,2019,3,3,1,47,24,FALSE,23.5,53,88.67924528,0,0,0,3,0
HJ Jordaan ,THAI,2019,2020,8,8,1,166,37,TRUE,23.71428571,210,79.04761905,0,0,0,10,4
DMW Rawlins ,Bermuda,2019,2019,11,11,0,261,63,FALSE,23.72727273,201,129.8507463,0,1,1,23,15
Shakib Al Hasan ,Bangladesh,2006,2019,76,76,10,1567,84,FALSE,23.74242424,1266,123.7756714,0,9,5,163,33
SC Williams ,Zimbabwe,2006,2020,42,42,5,882,66,FALSE,23.83783784,684,128.9473684,0,6,4,82,26
S Vesawkar ,Nepal,2014,2019,17,16,3,310,40,FALSE,23.84615385,313,99.04153355,0,0,0,25,7
SA Edwards ,Netherlands,2018,2019,29,22,8,334,42,TRUE,23.85714286,229,145.8515284,0,0,1,33,6
Mohamed Arief ,MAL,2019,2020,12,11,2,215,52,TRUE,23.88888889,171,125.7309942,0,1,0,23,5
B Ward ,JER,2019,2019,13,12,3,215,58,TRUE,23.88888889,160,134.375,0,1,1,8,15
RR Patel ,Kenya,2008,2019,30,26,4,526,55,FALSE,23.90909091,414,127.0531401,0,3,1,31,31
Sharjeel Khan ,Pakistan,2013,2016,15,15,0,360,59,FALSE,24,262,137.4045802,0,2,0,48,13
J Singye ,BHU,2019,2019,2,2,0,48,40,FALSE,24,64,75,0,0,0,2,0
Azyan Farhath ,Mald,2019,2019,2,2,1,24,22,TRUE,24,22,109.0909091,0,0,0,2,0
JN Gillespie ,Australia,2005,2005,1,1,0,24,24,FALSE,24,18,133.3333333,0,0,0,4,0
CP Schofield ,England,2007,2007,4,4,3,24,9,TRUE,24,20,120,0,0,0,2,0
JJ Roy ,England,2014,2021,39,39,0,939,78,FALSE,24.07692308,650,144.4615385,0,5,5,92,45
Tamim Iqbal ,Bangladesh/ICC/World XI,2007,2020,78,78,5,1758,103,TRUE,24.08219178,1503,116.9660679,1,7,6,188,45
GD Phillips ,New Zealand,2017,2021,22,19,2,410,108,FALSE,24.11764706,291,140.8934708,1,1,0,31,24
Mahmudullah ,Bangladesh,2007,2020,87,79,18,1475,64,TRUE,24.18032787,1201,122.8143214,0,4,2,117,48
DAJ Bracewell ,New Zealand,2011,2019,18,10,5,121,44,FALSE,24.2,83,145.7831325,0,0,2,6,9
KH Pandya ,India,2018,2019,18,9,4,121,26,TRUE,24.2,92,131.5217391,0,0,0,8,6
GJ Delany ,Ireland,2019,2020,23,21,3,436,89,TRUE,24.22222222,290,150.3448276,0,2,0,38,20
CJ Anderson ,New Zealand,2012,2018,31,24,4,485,94,TRUE,24.25,351,138.1766382,0,2,3,30,26
PJ Moor ,Zimbabwe,2016,2019,21,19,4,364,92,TRUE,24.26666667,286,127.2727273,0,1,0,22,24
JW Jenner ,JER,2019,2019,17,17,2,365,71,FALSE,24.33333333,299,122.0735786,0,3,2,24,14
Khurram Khan ,United Arab Emirates,2014,2014,3,3,0,73,31,FALSE,24.33333333,73,100,0,0,0,8,0
Yousef Shadzehisarjou ,Iran,2020,2020,3,3,0,73,39,FALSE,24.33333333,106,68.86792453,0,0,0,9,0
Usman Ghani ,Afghanistan,2015,2020,20,20,1,463,73,FALSE,24.36842105,431,107.424594,0,3,0,46,12
Irfan Bhima ,MWest Indies,2019,2019,4,4,0,98,52,FALSE,24.5,88,111.3636364,0,1,2,13,2
SD Outerbridge ,Bermuda,2008,2008,3,3,1,49,37,TRUE,24.5,51,96.07843137,0,0,0,2,1
DA Rankin ,Ireland,2015,2016,2,2,0,49,34,FALSE,24.5,54,90.74074074,0,0,0,3,2
DG Blampied ,JER,2019,2019,17,15,6,221,43,TRUE,24.55555556,222,99.54954955,0,0,1,14,0
KA Pollard ,West Indies,2008,2021,79,65,13,1277,75,TRUE,24.55769231,930,137.311828,0,5,2,77,85
BRM Taylor ,Zimbabwe,2006,2020,43,43,6,909,75,TRUE,24.56756757,761,119.4480946,0,6,5,91,24
IK Pathan ,India,2006,2012,24,14,7,172,33,TRUE,24.57142857,144,119.4444444,0,0,0,9,7
RP Burl ,Zimbabwe,2018,2020,19,16,4,295,57,TRUE,24.58333333,261,113.0268199,0,1,0,17,11
Hussain Talat ,Pakistan,2018,2021,18,18,2,394,63,FALSE,24.625,333,118.3183183,0,2,1,37,5
Haider Ali ,Pakistan,2020,2021,10,10,1,222,66,TRUE,24.66666667,162,137.037037,0,2,0,17,12
NJ Astle ,New Zealand,2005,2006,4,4,1,74,40,TRUE,24.66666667,67,110.4477612,0,0,0,7,2
Muhammad Usman ,United Arab Emirates,2016,2020,39,36,5,765,89,TRUE,24.67741935,640,119.53125,0,3,3,65,24
SJ Myburgh ,Netherlands,2012,2019,33,32,2,741,71,TRUE,24.7,635,116.6929134,0,5,6,82,22
OA Shah ,England,2007,2009,17,15,1,347,55,TRUE,24.78571429,284,122.1830986,0,1,0,26,13
TL Seifert ,New Zealand,2018,2021,35,32,4,695,84,TRUE,24.82142857,522,133.1417625,0,5,2,57,37
LE Bosman ,South Africa,2006,2010,14,14,1,323,94,FALSE,24.84615385,219,147.4885845,0,3,2,27,20
Zeeshan Maqsood ,Oman,2015,2020,31,26,4,547,56,FALSE,24.86363636,490,111.6326531,0,2,2,66,12
VB Chikkannaiah ,GER,2019,2020,9,9,1,199,70,TRUE,24.875,212,93.86792453,0,2,1,12,4
Sabbir Rahman ,Bangladesh,2014,2019,44,43,5,946,80,FALSE,24.89473684,783,120.8173691,0,4,2,89,28
GJ Bailey ,Australia/World XI,2012,2017,30,26,7,473,63,FALSE,24.89473684,346,136.7052023,0,2,1,37,20
RV Uthappa ,India,2007,2015,13,12,2,249,50,FALSE,24.9,211,118.0094787,0,1,1,26,6
Rameez Shahzad ,United Arab Emirates,2016,2019,22,21,3,449,54,FALSE,24.94444444,404,111.1386139,0,1,2,37,13
DAS Gunaratne ,Sri Lanka,2016,2017,12,12,3,225,84,TRUE,25,178,126.4044944,0,2,2,19,6
Inam-ul-Haq ,QAT,2019,2019,11,11,2,225,73,TRUE,25,205,109.7560976,0,1,1,28,2
S Pokhriyal ,CZK-R,2019,2020,9,9,1,200,79,FALSE,25,186,107.5268817,0,1,1,31,3
NR Kirton ,Canada,2019,2019,5,5,2,75,37,TRUE,25,83,90.36144578,0,0,0,4,1
Md Nurul Huda ,Fin,2019,2019,5,4,2,50,30,TRUE,25,32,156.25,0,0,0,4,2
Asrar Ahmed (),NA,2019,2019,3,1,0,25,25,FALSE,25,27,92.59259259,0,0,0,2,0
T Jamtsho ,BHU,2019,2019,2,2,1,25,19,FALSE,25,27,92.59259259,0,0,0,1,1
RK Kleinveldt ,South Africa,2008,2013,6,3,2,25,22,FALSE,25,10,250,0,0,0,1,3
KR Mayers ,West Indies,2020,2020,2,2,1,25,20,FALSE,25,18,138.8888889,0,0,0,1,2
PM Nevill ,Australia,2016,2016,9,5,4,25,10,TRUE,25,11,227.2727273,0,0,0,1,2
Shahriar Nafees ,Bangladesh,2006,2006,1,1,0,25,25,FALSE,25,17,147.0588235,0,0,0,3,1
MP Stoinis ,Australia,2015,2021,28,23,8,376,78,FALSE,25.06666667,281,133.8078292,0,1,1,34,13
Mohammed Rizlan ,QAT,2019,2020,22,18,7,276,38,TRUE,25.09090909,277,99.63898917,0,0,1,14,13
Mohamed Rishwan ,Mald,2019,2020,14,13,0,327,67,FALSE,25.15384615,312,104.8076923,0,3,0,29,15
R Gunasekera ,Canada,2012,2013,8,8,0,202,65,FALSE,25.25,188,107.4468085,0,1,0,23,4
G Chaturvedi ,MLT,2019,2020,5,4,0,101,32,FALSE,25.25,75,134.6666667,0,0,0,14,1
V Shankar ,India,2018,2019,9,4,0,101,43,FALSE,25.25,73,138.3561644,0,0,0,11,5
HB Kayondo ,UGA,2019,2019,3,3,0,76,31,FALSE,25.33333333,69,110.1449275,0,0,0,2,4
VS Solanki ,England,2005,2007,3,3,0,76,43,FALSE,25.33333333,61,124.5901639,0,0,0,10,1
S Bau ,Papau New Guinea,2016,2019,23,17,3,356,40,TRUE,25.42857143,338,105.3254438,0,0,1,21,11
Nazimuddin ,Bangladesh,2007,2008,7,7,0,178,81,FALSE,25.42857143,158,112.6582278,0,1,2,13,10
Sidhant Singh ,SGP,2019,2020,11,9,2,178,77,FALSE,25.42857143,135,131.8518519,0,2,1,15,6
IS Billcliff ,Canada,2010,2010,2,2,0,51,37,FALSE,25.5,39,130.7692308,0,0,0,3,2
TGJ Gruijters ,Netherlands,2012,2013,8,5,3,51,21,TRUE,25.5,47,108.5106383,0,0,0,3,1
Junaid Aziz ,BHR,2020,2020,4,3,1,51,24,TRUE,25.5,43,118.6046512,0,0,0,6,1
V Mbazo ,Botsw,2019,2019,4,3,1,51,27,TRUE,25.5,67,76.11940299,0,0,0,3,0
AD Mathews ,Sri Lanka,2009,2021,78,63,18,1148,81,TRUE,25.51111111,975,117.7435897,0,5,1,73,38
A Balbirnie ,Ireland,2015,2020,43,39,2,945,83,FALSE,25.54054054,728,129.8076923,0,4,3,111,13
CO Obuya ,Kenya,2007,2019,35,33,6,691,75,TRUE,25.59259259,649,106.4714946,0,4,3,47,17
KJ Coetzer ,Scotland,2008,2019,58,56,2,1386,89,FALSE,25.66666667,1136,122.0070423,0,6,3,144,45
JJ Smit ,Namibia,2019,2019,12,10,2,206,59,FALSE,25.75,128,160.9375,0,1,0,10,14
Ahmed Shehzad ,Pakistan,2009,2019,59,59,2,1471,111,TRUE,25.80701754,1282,114.7425897,1,7,2,157,33
H Masakadza ,Zimbabwe,2006,2019,66,66,2,1662,93,TRUE,25.96875,1418,117.2073343,0,11,1,151,65
Umar Akmal ,Pakistan,2009,2019,84,79,14,1690,94,FALSE,26,1377,122.7305737,0,8,10,122,55
HT Tector ,Ireland,2019,2020,20,18,4,364,60,FALSE,26,271,134.3173432,0,1,0,27,11
Manpreet Singh ,SGP,2019,2020,15,14,2,312,42,TRUE,26,267,116.8539326,0,0,0,21,6
N Nipiko ,VAN,2019,2019,14,14,2,312,62,FALSE,26,297,105.0505051,0,2,1,16,13
A Manousis (),NA,2019,2019,3,3,1,52,23,FALSE,26,49,106.122449,0,0,0,5,1
D Ganga ,West Indies,2006,2006,1,1,0,26,26,FALSE,26,31,83.87096774,0,0,0,3,1
Izatullah Dawlatzai ,Afghanistan/GER,2012,2020,16,4,3,26,24,TRUE,26,16,162.5,0,0,0,2,2
CT Mumba ,Zimbabwe,2020,2020,2,2,1,26,25,FALSE,26,17,152.9411765,0,0,0,3,1
TK Saha ,Fin,2019,2019,4,4,3,26,18,TRUE,26,23,113.0434783,0,0,0,1,0
MH Cross ,Scotland,2013,2019,43,35,6,755,66,TRUE,26.03448276,593,127.3187184,0,5,3,77,22
CS MacLeod ,Scotland,2009,2019,49,47,7,1042,74,FALSE,26.05,905,115.1381215,0,7,4,93,21
AB de Villiers ,South Africa,2006,2017,78,75,11,1672,79,TRUE,26.125,1237,135.1657235,0,10,5,140,60
BJ Hodge ,Australia,2007,2014,15,11,4,183,36,FALSE,26.14285714,144,127.0833333,0,0,0,9,7
LRPL Taylor ,New Zealand,2006,2020,102,94,21,1909,63,FALSE,26.15068493,1560,122.3717949,0,7,6,121,71
RR Hendricks ,South Africa,2014,2021,28,28,0,734,74,FALSE,26.21428571,613,119.7389886,0,5,2,87,11
MP O'Dowd ,Netherlands,2015,2019,36,35,2,866,69,FALSE,26.24242424,718,120.6128134,0,6,0,83,19
CA Ingram ,South Africa,2010,2012,9,9,1,210,78,FALSE,26.25,162,129.6296296,0,1,1,23,7
Haroon Arshad ,Hong Kong,2019,2020,17,15,4,289,68,FALSE,26.27272727,213,135.6807512,0,1,0,22,9
PK Matautaava ,VAN,2019,2019,10,10,0,265,103,FALSE,26.5,156,169.8717949,1,1,2,19,20
Bakhtiar Tahiri ,BUL,2020,2020,7,6,0,159,66,FALSE,26.5,148,107.4324324,0,1,0,12,8
Aphsal Ashraf ,KUW,2020,2020,5,3,1,53,45,TRUE,26.5,32,165.625,0,0,0,1,5
TM Head ,Australia,2016,2018,16,15,3,319,48,TRUE,26.58333333,245,130.2040816,0,0,0,19,10
Noor Ali Zadran ,Afghanistan,2010,2017,20,20,1,506,63,FALSE,26.63157895,497,101.8108652,0,3,1,45,6
MN Waller ,Zimbabwe,2011,2018,32,31,8,613,68,FALSE,26.65217391,443,138.3747178,0,1,2,42,28
Saber Zakhil ,Belg,2019,2020,7,7,1,160,44,FALSE,26.66666667,101,158.4158416,0,0,0,9,11
Ijaz Hussain ,ROM,2019,2020,5,3,0,80,40,FALSE,26.66666667,76,105.2631579,0,0,0,7,6
RE van der Merwe ,Netherlands/SA,2009,2019,43,29,12,454,75,TRUE,26.70588235,345,131.5942029,0,2,4,36,13
Ehsan Khan ,Hong Kong,2016,2020,23,15,8,187,42,TRUE,26.71428571,158,118.3544304,0,0,1,11,10
W Madhevere ,Zimbabwe,2020,2020,5,5,1,107,70,TRUE,26.75,90,118.8888889,0,1,1,13,2
UT Khawaja ,Australia,2016,2016,9,9,0,241,58,FALSE,26.77777778,182,132.4175824,0,1,0,31,5
MNM Aslam ,KUW,2019,2020,11,7,2,134,32,FALSE,26.8,133,100.7518797,0,0,1,12,2
LMP Simmons ,West Indies,2007,2021,57,56,9,1262,91,TRUE,26.85106383,1018,123.9685658,0,8,6,116,55
IR Bell ,England,2006,2014,8,8,1,188,60,TRUE,26.85714286,163,115.3374233,0,1,0,23,2
CJA Amini ,Papau New Guinea,2015,2019,23,18,4,377,60,FALSE,26.92857143,324,116.3580247,0,2,2,16,13
