56	65	18	56	69	58	53	61	70	50
73	41	31	61	78	78	75	83	73	78
81	60	100	71	69	66	91	74	100	90
83	73	84	90	90	86	81	54	96	89
56	80	76	40	43	49	62	38	52	86
79	83	76	59	67	75	80	79	87	35
92	67	58	80	90	95	93	100	100	100
99	69	99	91	100	84	100	100	92	96
84	73	61	88	95	81	88	84	83	80
9	52	0	37	12	8	0	10	9	10
61	45	74	84	56	63	76	60	60	45
15	0	6	20	7	18	22	14	14	13
20	11	9	0	7	24	50	21	20	18
44	39	57	19	41	42	23	44	44	39
72	78	72	77	68	59	89	71	71	87
81	95	81	73	85	79	74	79	81	90
79	86	73	86	42	78	98	89	100	80
92	94	92	77	100	88	100	85	95	92
69	82	62	61	72	69	40	88	79	71
81	69	91	100	79	77	100	55	100	80
44	62	44	41	56	36	53	62	63	42
87	79	87	76	70	87	53	86	93	85
61	51	55	76	68	55	42	13	28	61
86	77	94	94	55	88	76	31	85	86
58	58	100	17	59	87	51	61	54	53
50	49	66	93	49	31	49	49	81	36
89	89	71	93	89	81	90	79	100	100
28	27	1	35	26	19	24	21	40	40
48	48	0	26	46	56	48	49	52	39
80	80	100	100	78	71	73	80	100	100
4	3	35	20	4	14	2	2	1	40
18	17	0	41	19	29	15	13	0	0
61	60	63	48	60	66	60	45	63	37
30	37	34	42	27	34	29	17	29	0
81	100	76	82	78	80	100	74	84	69
34	25	35	45	33	39	38	43	30	34
43	53	53	24	42	47	52	52	44	60
0	14	11	0	0	0	10	12	0	30
28	47	47	37	27	28	0	40	27	35
87	91	83	87	84	87	93	88	88	100
1	37	0	0	0	1	0	0	0	0
85	100	85	71	81	81	51	36	73	85
42	28	39	39	42	41	12	43	38	39
66	55	63	65	70	61	74	100	100	64
47	38	47	51	40	48	62	39	44	52
27	27	26	29	25	29	16	7	25	26
0	10	0	0	0	0	60	8	23	0
4	0	2	9	0	9	0	27	38	3
57	57	57	45	54	30	86	57	50	45
44	44	43	45	40	24	56	47	32	63
86	85	86	80	74	100	100	82	85	91
62	62	63	41	39	94	82	63	55	79
82	81	82	84	100	100	100	93	70	47
65	65	68	91	60	77	100	69	57	58
28	28	28	50	23	24	23	26	35	25
9	9	8	36	20	0	0	15	0	0
